4.25,6
4,5
4,8
4,5
4,5
4,6
3.5,4
2.25,2
2,2
4,3
8,6
4,6
4,5
4,6
2,5
4,6
3.5,3
4,3
4.25,4
4,6
4,3
4,7
4.5,9
4.5,7
4,4
4,5
2,1
2.5,5
4,7
4,6
4,5
3,4
8,7
4,5
4,6
4,6
3.75,6
4,5
2.75,1
3.5,5
4,6
4,4
4,1
4,5
4.5,4
4,6
3.5,6
4,4
4.5,4
3,1
5,6
4.5,6
4,5
5,5
2,2
2,2
5,5
5,5
5,5
4.75,5
6.5,3
6.5,7
4,6
3.25,3
3,5
2.5,4
2.75,6
3.75,6
8,6
8,9
1,2
4.75,5
3,5
4.25,4
7,5
7,7
7.75,9
5.25,3
5,7
5,5
5,5
4.5,7
4,3
3,5
3.5,3
4,4
3.5,7
2.5,1
6,3
7,7
6,5
8.25,9
8,7
8,9
7.5,9
8,7
8.25,9
8,9
8,7
1,3
8,6
7.75,9
8,7
8,9
8,8
8,8
7.5,9
8,9
8,6
7.75,8
8.25,9
8.25,9
8,8
8,8
7.5,9
7.5,7
8,9
4,4
5,7
1,3
1.75,2
1,1
4.5,7
5.25,9
4.5,7
5,5
5,6
5,6
3,5
3,3
3.5,6
4,6
2.75,4
5.25,5
4.5,6
8,9
8,9
8,7
6.5,4
5,1
6,6
6,8
6,5
0.5,2
1,2
1,1
7,4
8,9
7,8
2,4
8,8
3,2
4.5,7
6,6
3,3
4,4
4,5
3,3
3,6
2.75,1
3.5,5
4,4
1,1
1.5,1
1.25,1
1,1
0.5,2
8,7
8,9
8.25,7
2,2
7,4
7.25,6
6,4
7.75,9
8,7
8,6
8.25,8
1,1
1.25,3
4.5,4
4,4
2,4
1.75,1
2,2
2,1
2.25,2
1.75,4
2,2
7,8
7,7
4.75,5
5.25,5
4,3
5.25,9
7,7
7,5
7,6
8,9
8,7
1.75,2
3,2
3.5,4
6,4
2,2
6,9
6,8
6,2
6,5
5.75,7
5,4
3,1
2.5,2
2,2
3,1
7,8
1,2
3,3
4.25,4
5.5,8
5.5,7
6.5,8
4,5
2,3
3,6
3,3
3,1
3,3
4,5
7,9
6.25,8
5,7
5.25,9
5.25,8
4.75,5
1.75,1
7,8
4.5,7
2,3
7,8
3,3
7,6
2.5,1
4,7
3.75,2
2.25,3
1,1
1,3
1,1
1,1
1,2
5,2
5,6
1.75,1
2,3
4.25,1
1,1
1,3
1,3
1,3
0.5,1
0.75,1
1.5,1
1,3
1,2
1.25,1
5.25,4
6,8
5.5,8
2,3
1,2
1,2
4,8
1,1
0.75,3
1,2
1,2
1,2
1,2
1,3
1,1
1,2
1.5,1
5,1
4.5,7
5,7
4.75,5
1.75,1
2,5
2,3
1.75,2
5,5
8,9
8,8
6.5,4
6,4
2.75,2
3.25,3
5.25,4
5.5,3
2.25,2
4,3
6.5,6
4,5
7,6
6.5,6
6,7
2.75,3
3.25,6
2,3
4,3
2,2
1,1
2,4
6,7
6,6
3,3
4,5
7.75,8
2,3
1,1
1,1
1,2
1,3
1,1
2,1
1.75,5
1.5,5
2,2
3,1
2.75,3
5.75,9
6,6
6.5,7
5,6
2,2
2,4
3,6
3,3
5,5
6.5,9
5.5,2
4.25,6
2.25,4
2.5,5
7,9
7.25,9
7,8
1,2
2,1
1.75,5
7.75,9
6.5,9
7,8
7.25,8
7,3
7,7
7,5
7,8
0.75,3
1,1
1,1
1.25,1
1.5,3
0.75,1
2,2
5,5
8.25,7
4,1
3,4
6,4
2,1
2,3
6.25,4
6.5,8
5,6
5,4
3,1
3,3
2.75,2
4,1
4,5
3,7
3,3
3,5
2.25,2
7.25,8
6.25,8
3,1
3,3
1,1
4,6
1,1
1,3
6,2
6,5
5.5,4
7,9
7,9
6.75,9
6.75,9
7.25,9
8,9
7,6
1,2
5,5
2,4
2,1
2,4
3.25,1
6.25,8
6,9
6.5,7
5,7
5.5,5
5,6
8,8
6,6
5.75,6
7,7
7.5,9
3,3
3.5,3
3,2
4.5,9
5,6
7,8
6,7
3,1
2.5,4
4,4
6.25,6
7,8
5.75,9
6,4
6,7
4.25,6
7,5
7,9
7,4
7.25,8
5.75,9
6,7
5,5
6,4
6,9
6.25,3
6,6
